Date,Open,High,Low,Close,Volume,SMAVG (15)
2013-06-04 13:30,163.5298,163.58,162.73,163.18,27452624,21461452
2013-06-04 12:30,163.85,164.27,163.4,163.53,15372938,20073342
2013-06-04 11:30,164.4916,164.62,163.84,163.85,14216193,19798476
2013-06-04 10:30,164.91,165.1,164.19,164.493,17278864,20074772
2013-06-04 9:30,164.44,165.01,164.29,164.92,22843564,20905630
2013-06-03 15:30,163.91,164.46,163.77,164.36,24665088,20398422
2013-06-03 14:30,163.48,163.95,163.37,163.9,13529299,19411054
2013-06-03 13:30,163.22,163.74,163.07,163.48,10549739,19026674
2013-06-03 12:30,163.14,163.49,162.9,163.21,10714575,18852794
2013-06-03 11:30,162.75,163.34,162.6599,163.14,15825028,18765844
2013-06-03 10:30,163.7,163.72,162.66,162.74,29197580,18638904
2013-06-03 9:30,163.83,164.17,163.07,163.69,44737340,18477396
2013-05-31 15:30,164.71,164.77,163.13,163.39,44349728,16604672
2013-05-31 14:30,165.24,165.245,164.58,164.711,20559996,14660734
2013-05-31 13:30,165.741,165.75,165.18,165.24,10629215,14635909
2013-05-31 12:30,165.67,165.85,165.54,165.741,6630978,14867860
2013-05-31 11:30,165.97,166.12,165.45,165.675,11249947,15491178
2013-05-31 10:30,165.39,166.31,165.34,165.97,18360632,16517487
2013-05-31 9:30,165.37,165.93,165.12,165.4,29741742,17569348
2013-05-30 15:30,166.18,166.25,165.8,165.86,15235437,16808078
2013-05-30 14:30,166.51,166.59,166.16,166.19,9854560,16955014
2013-05-30 13:30,166.29,166.52,166.23,166.51,7763622,17636498
2013-05-30 12:30,166.155,166.29,165.97,166.285,7941539,17742476
2013-05-30 11:30,166.02,166.44,166.01,166.15,9410318,18023974
2013-05-30 10:30,165.901,166.24,165.77,166.01,13920912,18518218
2013-05-30 9:30,165.35,166.37,165.22,165.91,26774988,19501712
2013-05-29 15:30,165.6,165.68,165.13,165.27,16646464,18782788
2013-05-29 14:30,165.49,165.66,165.21,165.6,15190665,18284476
2013-05-29 13:30,165.13,165.8,164.97,165.49,20187612,17953444
2013-05-29 12:30,164.9,165.14,164.535,165.13,14108481,17234044
2013-05-29 11:30,164.83,165.24,164.75,164.9,15980753,17133776
2013-05-29 10:30,165.019,165.2,164.34,164.82,26644576,17435896
2013-05-29 9:30,165.42,165.72,164.95,165.02,34138552,17761186
2013-05-28 15:30,166.29,166.65,166.25,166.3,18322688,16967356
2013-05-28 14:30,166.091,166.42,165.81,166.28,17439494,17331320
2013-05-28 13:30,166.61,166.64,165.86,166.09,20076804,17282580
2013-05-28 12:30,166.851,167.02,166.54,166.61,9353289,17032666
2013-05-28 11:30,167.24,167.27,166.71,166.851,12164019,17614362
2013-05-28 10:30,167.6999,167.72,167.02,167.24,16823982,18703056
2013-05-28 9:30,167.04,167.78,166.93,167.6999,28673322,21262946
2013-05-24 15:30,165.09,165.33,164.82,165.33,15991114,21564450
2013-05-24 14:30,165.1999,165.28,165.02,165.085,9171801,22600178
2013-05-24 13:30,165.09,165.3805,164.92,165.198,10225172,24633124
2013-05-24 12:30,164.891,165.12,164.54,165.1,9396617,24908416
2013-05-24 11:30,164.49,164.92,164.4,164.89,12604468,25245152
2013-05-24 10:30,164.25,164.76,164.16,164.47,20512552,27102858
2013-05-24 9:30,164.47,164.76,163.98,164.25,31523904,28113686
2013-05-23 15:30,165.51,165.67,165.19,165.45,22231116,26862976
2013-05-23 14:30,165.48,165.91,165.22,165.51,23782152,25956940
2013-05-23 13:30,164.93,165.69,164.81,165.49,16708394,24894548
2013-05-23 12:30,165.45,165.47,164.88,164.93,16328095,24464052
2013-05-23 11:30,165.1,165.76,165.06,165.45,18078734,23959772
2013-05-23 10:30,164.825,165.44,164.39,165.11,28494404,23607722
2013-05-23 9:30,164.16,165.04,163.94,164.83,55222344,23131888
2013-05-22 15:30,165.28,165.97,165.17,165.95,33195872,20237470
2013-05-22 14:30,166.27,166.441,165.25,165.295,31527048,18506648
2013-05-22 13:30,167.461,167.5,166.06,166.26,39666000,17031402
2013-05-22 12:30,168.07,168.28,167.44,167.47,14354544,14908424
2013-05-22 11:30,168.27,168.67,168.04,168.06,14447642,14591493
2013-05-22 10:30,168.91,169.02,167.56,168.27,40470056,14238071
2013-05-22 9:30,167.34,169.07,167.2965,168.91,35674972,12816063
2013-05-21 15:30,167.34,167.46,167.11,167.15,12763269,11752824
2013-05-21 14:30,167.5401,167.59,167.31,167.33,8640586,12483170
2013-05-21 13:30,167.53,167.8,167.42,167.54,7846267,12462189
2013-05-21 12:30,167.35,167.76,167.2,167.5265,10250958,12286398
2013-05-21 11:30,166.79,167.4,166.79,167.35,8763873,12099798
2013-05-21 10:30,166.731,166.95,166.5,166.79,12798008,12448103
2013-05-21 9:30,167.08,167.52,166.59,166.74,21356872,13177810
2013-05-20 15:30,166.9901,167.05,166.76,166.97,11806086,13091253
2013-05-20 14:30,167.01,167.1,166.85,167,7233550,13205272
2013-05-20 13:30,166.951,167.05,166.61,167.02,9398334,13170691
2013-05-20 12:30,167.42,167.42,166.87,166.96,7821336,12912227
2013-05-20 11:30,167.3,167.58,167.29,167.41,9600587,12891557
2013-05-20 10:30,167.04,167.31,167,167.289,9146308,13217958
2013-05-20 9:30,166.78,167.18,166.72,167.03,19139932,14116074
2013-05-17 15:30,166.9,167.04,166.84,166.94,19726400,13960685
2013-05-17 14:30,166.388,166.95,166.37,166.9,23718460,13710652
2013-05-17 13:30,166.1501,166.44,166.09,166.39,8325861,12964209
2013-05-17 12:30,166.11,166.19,165.97,166.16,5209405,13386247
2013-05-17 11:30,166.1,166.24,166.01,166.11,7451964,13835669
2013-05-17 10:30,166.25,166.36,165.83,166.1,13988440,14190995
2013-05-17 9:30,165.95,166.36,165.73,166.25,23743608,14293128
2013-05-16 15:30,165.51,165.53,165.09,165.34,20058528,13806960
2013-05-16 14:30,166.165,166.18,165.35,165.51,13516361,13177402
2013-05-16 13:30,165.9999,166.27,165.94,166.1699,6714840,12966880
2013-05-16 12:30,166.06,166.12,165.95,165.99,5521375,12832469
2013-05-16 11:30,166.15,166.35,166.05,166.06,7511292,13156445
2013-05-16 10:30,165.83,166.36,165.75,166.15,14496601,13608043
2013-05-16 9:30,165.78,166.27,165.57,165.83,22618050,14364136
2013-05-15 15:30,165.77,166.19,165.76,166.15,16809086,13445846
2013-05-15 14:30,165.68,165.89,165.35,165.77,15975909,12920866
2013-05-15 13:30,166.01,166.14,165.47,165.68,12521818,12345180
2013-05-15 12:30,166.18,166.45,165.94,166.01,14656423,11832701
2013-05-15 11:30,165.65,166.26,165.58,166.1899,11950745,11478384
2013-05-15 10:30,165.11,165.76,165.08,165.65,12781848,11376890
2013-05-15 9:30,164.96,165.29,164.91,165.12,15520439,11740253
2013-05-14 15:30,164.95,165.35,164.94,165.23,16451080,11686127
2013-05-14 14:30,164.87,165.065,164.73,164.95,10615164,11051562
2013-05-14 13:30,165.04,165.14,164.75,164.87,10358535,10819454
2013-05-14 12:30,165.02,165.09,164.93,165.04,4698664,10716782
2013-05-14 11:30,164.89,165.21,164.85,165.02,10381024,11217585
2013-05-14 10:30,164.675,165,164.64,164.89,14285255,11591200
2013-05-14 9:30,163.67,164.71,163.67,164.68,25838000,11915080
2013-05-13 15:30,163.42,163.6,163.4,163.54,8843701,11097217
2013-05-13 14:30,163.439,163.67,163.29,163.42,8934378,11968524
2013-05-13 13:30,163.579,163.58,163.34,163.43,7340627,11982407
2013-05-13 12:30,163.685,163.73,162.93,163.575,4834625,12007661
2013-05-13 11:30,163.35,163.81,163.33,163.69,9341673,12199811
2013-05-13 10:30,163.2791,163.46,163.16,163.35,10428337,12296737
2013-05-13 9:30,163.2,163.4,162.82,163.279,18232296,12890034
2013-05-10 15:30,163.09,163.49,163.07,163.41,14708550,12767023
2013-05-10 14:30,163.115,163.21,163.03,163.09,6932594,12727134
2013-05-10 13:30,163.07,163.17,162.91,163.11,7133554,12764094
2013-05-10 12:30,162.81,163.11,162.75,163.07,8818448,12757595
2013-05-10 11:30,163.08,163.22,162.51,162.815,12210720,12662178
2013-05-10 10:30,163.08,163.1,162.61,163.085,15985247,12565241
2013-05-10 9:30,162.99,163.4,162.79,163.09,19143444,12877410
2013-05-09 15:30,163.009,163.12,162.47,162.93,13570056,12295779
2013-05-09 14:30,163.52,163.55,162.47,163.009,21913308,11951824
2013-05-09 13:30,163.421,163.7,163.42,163.53,9142628,10947842
2013-05-09 12:30,163.01,163.45,163.01,163.4223,7719434,10857614
2013-05-09 11:30,163.19,163.23,162.96,163.011,7716881,10815254
2013-05-09 10:30,162.91,163.19,162.9,163.19,10795552,11029030
2013-05-09 9:30,163.27,163.47,162.85,162.9,19327800,12042900
2013-05-08 15:30,163.25,163.39,163.22,163.34,16387127,11619878
2013-05-08 14:30,163.09,163.31,162.73,163.26,14110214,10911724
2013-05-08 13:30,163.14,163.23,163.02,163.08,7486999,10320060
2013-05-08 12:30,163.0807,163.23,162.98,163.15,7036072,10100411
2013-05-08 11:30,163.12,163.24,163.07,163.0806,7387191,10088998
2013-05-08 10:30,162.88,163.14,162.82,163.12,10756666,10199096
2013-05-08 9:30,162.42,162.92,162.33,162.88,20667778,10565295
2013-05-07 15:30,162.581,162.63,162.5,162.63,10418981,10555977
2013-05-07 14:30,162.5399,162.65,162.42,162.59,8410733,10690245
2013-05-07 13:30,162.45,162.625,162.43,162.54,6853574,10702948
